tarih,yil,baslik,ana_tema,ikincil_temalar,atif_sayisi
25.09.2020,2020,CAMİ VE İLİM,İbadet ve Kulluk,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Peygamberimiz ve Ashab",1
02.10.2020,2020,MURAKABE VE MUHASEBE BİLİNCİ,"Sabır, Tevekkül ve Manevi Olgunluk","Afet, Kriz ve Sağlık",3
09.10.2020,2020,MÜMİNİN YUMUŞAK HUYLULUĞU,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz; Vatan, Millet ve Tarih",2
16.10.2020,2020,"CAMİ: ALLAH’IN EVİ, MÜMİNLERİN ESERİ",İbadet ve Kulluk,"İman, Tevhid ve Ahiret",1
23.10.2020,2020,MEVLİD-İ NEBİ,Peygamberimiz ve Ashab,"Kandiller, Muharrem ve Mübarek Geceler",2
30.10.2020,2020,PEYGAMBERİMİZ VE ÇOCUK,"Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Sabır, Tevekkül ve Manevi Olgunluk",2
06.11.2020,2020,MÜMİN SORUMLULUK SAHİBİDİR,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk; İbadet ve Kulluk",2
13.11.2020,2020,"ABDEST: BEDENİMİZE SAĞLIK, RUHUMUZA HUZUR",İbadet ve Kulluk,"Ramazan, Oruç ve Bayramlar",4
20.11.2020,2020,CENNET: MÜMİNLERİ BEKLEYEN SONSUZ NİMET,"Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret",4
27.11.2020,2020,FAYDASIZ İŞLERİ TERK ETMEK KULLUĞUN GÜZELLİĞİNDENDİR,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,1
04.12.2020,2020,ENGELLİLİK: CENNETE KAVUŞTURAN İMTİHAN,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Sabır, Tevekkül ve Manevi Olgunluk",1
11.12.2020,2020,SU: HAYAT VE ŞİFA KAYNAĞIMIZ,"Afet, Kriz ve Sağlık","İbadet ve Kulluk; İman, Tevhid ve Ahiret",2
18.12.2020,2020,MÜMİN HER İŞİNDE MUTEDİLDİR,"Sabır, Tevekkül ve Manevi Olgunluk",,1
25.12.2020,2020,İÇKİ: KÖTÜLÜĞÜN ZEHİRLİ ARKADAŞI,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Vatan, Millet ve Tarih; Afet, Kriz ve Sağlık",1
01.01.2021,2021,"GEÇMİŞİN MUHASEBESİ, GELECEĞİN İMARI","İman, Tevhid ve Ahiret","Kandiller, Muharrem ve Mübarek Geceler; Toplumsal Dayanışma, Merhamet ve Kardeşlik",1
08.01.2021,2021,FÂTİHA SÛRESİ: KUR’AN’IN MUKADDİMESİ,İbadet ve Kulluk,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Kur'an-ı Kerim",3
15.01.2021,2021,MİRAS: HER HAK SAHİBİNE HAKKINI VERMEK,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil",2
22.01.2021,2021,AKLIN İBADETİ: TEFEKKÜR,İbadet ve Kulluk,"İman, Tevhid ve Ahiret",2
29.01.2021,2021,HAYVANLARA MERHAMET: DİNÎ VE İNSANÎ SORUMLULUĞUMUZ,"Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Sabır, Tevekkül ve Manevi Olgunluk",3
05.02.2021,2021,GENÇLERİMİZ: EN BÜYÜK İMKÂN VE ZENGİNLİĞİMİZ,"İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab; Aile, Çocuk ve Nesil",2
12.02.2021,2021,MANEVÎ HUZUR İKLİMİNE GİRERKEN,"Ramazan, Oruç ve Bayramlar","Kandiller, Muharrem ve Mübarek Geceler; Sabır, Tevekkül ve Manevi Olgunluk",0
19.02.2021,2021,İMANIN TADINA ERMEK: ALLAH VE RESÛLÜ’NÜ SEVMEK,"Vatan, Millet ve Tarih","Peygamberimiz ve Ashab; İman, Tevhid ve Ahiret",1
26.02.2021,2021,ZOR ZAMANLARDA MANEVİYATIMIZDAN DESTEK ALMAK,"Sabır, Tevekkül ve Manevi Olgunluk",İbadet ve Kulluk,3
05.03.2021,2021,İSRÂ VE MİRAÇ,"Vatan, Millet ve Tarih","İslam Coğrafyası ve Küresel Meseleler; Kandiller, Muharrem ve Mübarek Geceler",0
12.03.2021,2021,İSTİKLÂL MARŞI: HAKKIDIR HAKKA TAPAN MİLLETİMİN İSTİKLÂL!,"Vatan, Millet ve Tarih",,1
19.03.2021,2021,"ANNE-BABA RIZASI, RABBİMİZİN RIZASINA VESİLEDİR","Aile, Çocuk ve Nesil","Peygamberimiz ve Ashab; Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
26.03.2021,2021,BERAT GECESİ: AF VE MAĞFİRET GECESİ,"Afet, Kriz ve Sağlık","Kandiller, Muharrem ve Mübarek Geceler",1
02.04.2021,2021,BİRBİRİMİZİN FARKINDA OLALIM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,2
09.04.2021,2021,RAMAZAN: KUTLU MİSAFİR,"Ramazan, Oruç ve Bayramlar","İman, Tevhid ve Ahiret; Afet, Kriz ve Sağlık",1
16.04.2021,2021,ŞİFA AYI RAMAZAN,"Ramazan, Oruç ve Bayramlar",İbadet ve Kulluk,1
23.04.2021,2021,YETİM: CENÂB-I HAKK’IN İNSANLIĞA EMANETİ,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil; Ahlak, Erdem ve Söz",3
30.04.2021,2021,İNFAK TOPLUMUN ŞİFASIDIR,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
07.05.2021,2021,KADİR GECESİ: BİN AYDAN HAYIRLI GECE,İbadet ve Kulluk,"Ramazan, Oruç ve Bayramlar; Kandiller, Muharrem ve Mübarek Geceler",0
13.05.2021,2021,KUDÜS’ÜN ÖZGÜR OLDUĞU BAYRAMLARA,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar; İslam Coğrafyası ve Küresel Meseleler",2
14.05.2021,2021,VAKIF: ŞEFKAT VE MERHAMET MEDENİYETİ,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,3
21.05.2021,2021,ZULÜM CEZASIZ KALMAZ,İslam Coğrafyası ve Küresel Meseleler,,2
28.05.2021,2021,"YÜCE ALLAH, MÜMİNLERİN YARDIMCISIDIR","Sabır, Tevekkül ve Manevi Olgunluk",Kur'an-ı Kerim,2
04.06.2021,2021,İSLAM ZARARLI ALIŞKANLIKLARI YASAKLAR,"Aile, Çocuk ve Nesil","Sabır, Tevekkül ve Manevi Olgunluk; Afet, Kriz ve Sağlık",2
11.06.2021,2021,AİLEMDE MERHAMET VE HUZUR VAR,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil",2
18.06.2021,2021,MÜSLÜMAN ŞAHSİYETİ,"Ahlak, Erdem ve Söz","Vatan, Millet ve Tarih; Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",1
25.06.2021,2021,KUR’AN’IN MANEVÎ İKLİMİYLE BULUŞALIM,Kur'an-ı Kerim,"Sabır, Tevekkül ve Manevi Olgunluk",2
02.07.2021,2021,DÜĞÜNLERİMİZDE NEBEVÎ ÖLÇÜYE RİAYET EDELİM,"Aile, Çocuk ve Nesil",,3
09.07.2021,2021,"İHANETE KARŞI SADAKATE, CESARETE VE ŞEHADETE ŞAHİDİZ","Vatan, Millet ve Tarih","Ekonomik Hayat: Kazanç, Zekat ve İsraf",1
16.07.2021,2021,"KURBAN: TEVHİDİN SEMBOLÜ, İSLAM’IN ŞİARI","Ramazan, Oruç ve Bayramlar",İbadet ve Kulluk,0
20.07.2021,2021,KURBAN BAYRAMI,"Ramazan, Oruç ve Bayramlar",,1
23.07.2021,2021,MÜSLÜMAN’IN MÜSLÜMAN ÜZERİNDEKİ HAKLARI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,2
30.07.2021,2021,AFETLERE KARŞI SORUMLULUĞUMUZUN İDRAKİNDE OLALIM,"Afet, Kriz ve Sağlık","Ahlak, Erdem ve Söz; Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
06.08.2021,2021,ZORLUKLAR BİRLİKTE AŞILIR,"Afet, Kriz ve Sağlık","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Sabır, Tevekkül ve Manevi Olgunluk",2
13.08.2021,2021,KERBELÂ’YI İBRET NAZARIYLA OKUYALIM,"Kandiller, Muharrem ve Mübarek Geceler",,2
20.08.2021,2021,MÜSLÜMAN İŞİNİ SAĞLAM VE GÜZEL YAPAR,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Ahlak, Erdem ve Söz",3
27.08.2021,2021,ALLAH’IN YARDIM ETTİĞİNE MAĞLUBİYET YOKTUR,"Vatan, Millet ve Tarih",,0
03.09.2021,2021,ALLAH İLİM YOLCUSUNA CENNETİ KOLAYLAŞTIRIR,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",,1
10.09.2021,2021,CUMA NAMAZI: HAFTALIK BULUŞMAMIZ,İbadet ve Kulluk,,2
17.09.2021,2021,TİCARET HAYATINDA HELAL HARAM BİLİNCİ,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,4
24.09.2021,2021,TAKVA: RABBİMİZİN RIZASINI DİRİ TUTMA BİLİNCİ,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk",2
01.10.2021,2021,MÜMİN CAMİYE VEFALIDIR,İbadet ve Kulluk,,1
08.10.2021,2021,SONSUZ HAYAT AHİRET,"İman, Tevhid ve Ahiret",,3
15.10.2021,2021,MÜBAREK GECE MEVLİD-İ NEBİ,Peygamberimiz ve Ashab,,0
22.10.2021,2021,"ONUN BİZE MİRASI, EŞSİZ VEFASI","Aile, Çocuk ve Nesil",Peygamberimiz ve Ashab,6
29.10.2021,2021,"YAŞLILARIMIZA VEFA, RAHMET VE MAĞFİRET VESİLEMİZDİR",İbadet ve Kulluk,"Aile, Çocuk ve Nesil; Vatan, Millet ve Tarih",4
05.11.2021,2021,İNSAN İMANLA YÜCELİR,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk",0
12.11.2021,2021,İBADET: ALLAH İLE KUL ARASINDAKİ KUTLU BAĞ,"İman, Tevhid ve Ahiret",İbadet ve Kulluk,2
19.11.2021,2021,ŞİDDET İNSAN ONURUYLA ASLA BAĞDAŞMAZ,"Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Peygamberimiz ve Ashab",3
26.11.2021,2021,MÜMİN FAYDASIZ SÖZLERDEN VE LÜZUMSUZ İŞLERDEN UZAK DURUR,"İman, Tevhid ve Ahiret","Ekonomik Hayat: Kazanç, Zekat ve İsraf",5
03.12.2021,2021,ENGELLERİ HEP BİRLİKTE VE SEVGİYLE AŞALIM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,3
10.12.2021,2021,MÜMİN CANA YAKINDIR,"Sabır, Tevekkül ve Manevi Olgunluk","Toplumsal Dayanışma, Merhamet ve Kardeşlik",1
17.12.2021,2021,"MÜSLÜMAN, DİNÎ VE AHLAKİ DEĞERLERİYLE YAŞAR","Ahlak, Erdem ve Söz","Ekonomik Hayat: Kazanç, Zekat ve İsraf; Vatan, Millet ve Tarih",1
24.12.2021,2021,AHİRET DAHA HAYIRLI VE SÜREKLİDİR,"İman, Tevhid ve Ahiret",,5
31.12.2021,2021,"GEÇMİŞİMİZİ MUHASEBE EDELİM, GELECEĞİMİZE YÖN VERELİM","Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret; İbadet ve Kulluk",1
07.01.2022,2022,TÖVBE: GÜNAHLARDAN ARINMA İRADESİ,"İman, Tevhid ve Ahiret",,1
14.01.2022,2022,KELİME-İ ŞEHÂDET: İMANIN ÖZÜ,"İman, Tevhid ve Ahiret",Peygamberimiz ve Ashab,0
21.01.2022,2022,İSLAM: ALLAH KATINDA YEGÂNE DİN,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk; Kur'an-ı Kerim",0
28.01.2022,2022,ÜÇ AYLAR: RAHMET VE MAĞFİRET VESİLEMİZ,"Ramazan, Oruç ve Bayramlar","Kandiller, Muharrem ve Mübarek Geceler; İman, Tevhid ve Ahiret",2
04.02.2022,2022,SÖZ VE DAVRANIŞLARIMIZDA DOĞRU OLALIM,"Ahlak, Erdem ve Söz",,5
11.02.2022,2022,İSLAM’I TEMSİL SORUMLULUĞUMUZ,"Ahlak, Erdem ve Söz",,1
18.02.2022,2022,PEYGAMBERİMİZİN AHLAKI KUR’AN’DI,Peygamberimiz ve Ashab,"Ahlak, Erdem ve Söz; Kur'an-ı Kerim",5
25.02.2022,2022,MÜMİNİN MİRACI NAMAZ,İbadet ve Kulluk,"Kandiller, Muharrem ve Mübarek Geceler",1
04.03.2022,2022,BAĞIMLILIK: İNSAN ONURUYLA BAĞDAŞMAYAN HASTALIK,"Afet, Kriz ve Sağlık",,2
11.03.2022,2022,DÜNYA HAYATI BİR İYİLİK YOLCULUĞUDUR,"Ahlak, Erdem ve Söz","Kandiller, Muharrem ve Mübarek Geceler",2
18.03.2022,2022,ÇANAKKALE ZAFERİ: BİR MİLLETİN YENİDEN DİRİLİŞİ,"Vatan, Millet ve Tarih",,1
25.03.2022,2022,"AİLEMİZ: SEVGİ, RAHMET VE GÜVEN İKLİMİMİZ","Aile, Çocuk ve Nesil",,1
01.04.2022,2022,MERHABA YA ŞEHR-İ RAMAZAN,"Ramazan, Oruç ve Bayramlar",İbadet ve Kulluk,1
08.04.2022,2022,RAMAZAN VE DOĞRULUK,"Ahlak, Erdem ve Söz",,2
15.04.2022,2022,ZEKÂT VE İNFAK: İSLAM’IN KARDEŞLİK KÖPRÜSÜ,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,3
22.04.2022,2022,LEYLETÜ’L-KADR: İLAHİ LÜTUF VE İKRAM GECESİ,"Kandiller, Muharrem ve Mübarek Geceler","İbadet ve Kulluk; Ramazan, Oruç ve Bayramlar",2
29.04.2022,2022,HAYATI HELAL KILABİLMEK,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Ramazan, Oruç ve Bayramlar; Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
02.05.2022,2022,"BAYRAMIMIZ KUTLU, GÖNLÜMÜZ İMAN VE NEŞE DOLU OLSUN","Ramazan, Oruç ve Bayramlar","İman, Tevhid ve Ahiret; Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
06.05.2022,2022,ŞÜKÜR SANA EY ŞEKÛR,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk; İbadet ve Kulluk",1
13.05.2022,2022,İŞ VE ÇALIŞMA AHLAKI,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,2
20.05.2022,2022,DİJİTAL DÜNYADA DEĞERLERİYLE AİLE OLMAK,"Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Vatan, Millet ve Tarih",1
27.05.2022,2022,ALLAH’IN KİTABINA VE PEYGAMBERİNİN SÜNNETİNE BAĞLILIK,"Vatan, Millet ve Tarih",Peygamberimiz ve Ashab; Kur'an-ı Kerim,1
03.06.2022,2022,ÇEVREYE VEFA MÜMİNİN ŞİARIDIR,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",,3
10.06.2022,2022,BİR YUVA KURALIM,"Aile, Çocuk ve Nesil",,4
17.06.2022,2022,"HAYDİ KOŞ GEL, CAMİLER SENİNLE GÜZEL","Aile, Çocuk ve Nesil",,3
24.06.2022,2022,KURBAN: TAKVAYA ULAŞMA ARZUSU,"Ramazan, Oruç ve Bayramlar",,2
01.07.2022,2022,AHİRET GÜNÜ VE HESAP VERME BİLİNCİ,"İman, Tevhid ve Ahiret",,3
08.07.2022,2022,HAC: İLÂHİ DAVET,İbadet ve Kulluk,"Ramazan, Oruç ve Bayramlar",1
09.07.2022,2022,KURBAN BAYRAMI: ALLAH’A YAKLAŞMA SEVİNCİMİZ,"Ramazan, Oruç ve Bayramlar",Peygamberimiz ve Ashab,3
15.07.2022,2022,15 TEMMUZ: BİRLİK VE BERABERLİĞİN ZAFERİ,"Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
22.07.2022,2022,HER CAN MUKADDESTİR,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,4
29.07.2022,2022,HİCRETİMİZ RABBİMİZE OLSUN,Peygamberimiz ve Ashab,,1
05.08.2022,2022,MUHARREM AYI VE KERBELÂ,"Kandiller, Muharrem ve Mübarek Geceler",,3
12.08.2022,2022,"İMAN, SALİH AMEL VE GÜZEL AHLAKLA KEMALE ERER","Sabır, Tevekkül ve Manevi Olgunluk","Ahlak, Erdem ve Söz",2
19.08.2022,2022,ARŞIN GÖLGESİNDE KORUNMAKLA MÜJDELENEN GENÇ,İbadet ve Kulluk,"Peygamberimiz ve Ashab; Ramazan, Oruç ve Bayramlar",1
26.08.2022,2022,ZAFERLERİMİZİN ARDINDAKİ RUH VE MANA,"Vatan, Millet ve Tarih",,0
02.09.2022,2022,ANNE BABA: CENNETİ KAZANMA VESİLESİ,"Aile, Çocuk ve Nesil","İman, Tevhid ve Ahiret; Peygamberimiz ve Ashab",3
09.09.2022,2022,İLİM BİR NURDUR,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","İman, Tevhid ve Ahiret",4
16.09.2022,2022,"TAKVA, HAYÂ VE TESETTÜR","Ahlak, Erdem ve Söz","Vatan, Millet ve Tarih; İslam Coğrafyası ve Küresel Meseleler",2
23.09.2022,2022,HELAL KAZANÇ VE ALIN TERİ,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Ahlak, Erdem ve Söz",3
30.09.2022,2022,ONUN (S.A.S) ÇAĞRISI,İbadet ve Kulluk,"Sabır, Tevekkül ve Manevi Olgunluk; İman, Tevhid ve Ahiret",3
07.10.2022,2022,ÂLEMLERE RAHMET HZ. MUHAMMED (S.A.S),Peygamberimiz ve Ashab,,1
14.10.2022,2022,KUL VE KAMU HAKKI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,3
21.10.2022,2022,KOMŞULUK HUKUKU,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,3
28.10.2022,2022,AİLE OLMAK: İLAHİ LÜTUF,"Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
04.11.2022,2022,HAYAT REHBERİMİZ KUR’AN,"İman, Tevhid ve Ahiret",Kur'an-ı Kerim; Peygamberimiz ve Ashab,3
11.11.2022,2022,ÖNCE TEDBİR SONRA TEVEKKÜL,"Afet, Kriz ve Sağlık","Sabır, Tevekkül ve Manevi Olgunluk",3
18.11.2022,2022,İMAN VE İSTİKAMET,Peygamberimiz ve Ashab,"İman, Tevhid ve Ahiret; Sabır, Tevekkül ve Manevi Olgunluk",2
25.11.2022,2022,MERHAMET TOPLUMU,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,5
02.12.2022,2022,"ENGEL OLMA, FARKINDA OL","Toplumsal Dayanışma, Merhamet ve Kardeşlik",,5
09.12.2022,2022,HAYDİ NAMAZA! HAYDİ KURTULUŞA!,İbadet ve Kulluk,,7
16.12.2022,2022,ÇOCUK: RABBİMİZİN KIYMETLİ EMANETİ,"Aile, Çocuk ve Nesil",,2
23.12.2022,2022,BİZİ BİZ YAPAN DEĞERLERE SAHİP ÇIKALIM,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Ahlak, Erdem ve Söz; Ekonomik Hayat: Kazanç, Zekat ve İsraf",1
30.12.2022,2022,HAYATIN TEKRARI YOK,"İman, Tevhid ve Ahiret",,5
06.01.2023,2023,BESMELE: BEREKETE AÇILAN KAPI,İbadet ve Kulluk,"Afet, Kriz ve Sağlık",2
13.01.2023,2023,EN GÜZEL İSİMLER ALLAH’A AİTTİR,"İman, Tevhid ve Ahiret","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; İbadet ve Kulluk",2
20.01.2023,2023,ALLAH’IM! ÜÇ AYLARI BİZE BEREKETLİ KIL,"Ramazan, Oruç ve Bayramlar","İbadet ve Kulluk; Kandiller, Muharrem ve Mübarek Geceler",3
27.01.2023,2023,EN BÜYÜK MUCİZE KUR’AN-I KERİM,Kur'an-ı Kerim,,1
03.02.2023,2023,İMANIN GEREĞİ: SALİH AMEL VE GÜZEL AHLAK,"Ahlak, Erdem ve Söz","İbadet ve Kulluk; İman, Tevhid ve Ahiret",3
10.02.2023,2023,"GÜN, MİLLETÇE KENETLENME GÜNÜDÜR","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Afet, Kriz ve Sağlık",2
17.02.2023,2023,MİRAÇ GECEMİZ: İLÂHÎ RAHMET VE SEKÎNET VESİLEMİZ,"Afet, Kriz ve Sağlık","Kandiller, Muharrem ve Mübarek Geceler; Toplumsal Dayanışma, Merhamet ve Kardeşlik",4
24.02.2023,2023,"KARDEŞLİK, DAYANIŞMA VE DUA VAKTİ","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Afet, Kriz ve Sağlık",3
03.03.2023,2023,MÜSLÜMANLAR BİRBİRİNİN UMUDUDUR,İbadet ve Kulluk,"Ramazan, Oruç ve Bayramlar; Kandiller, Muharrem ve Mübarek Geceler",1
10.03.2023,2023,MÜMİN GÜVENEN VE GÜVENİLEN KİŞİDİR,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Peygamberimiz ve Ashab; Ahlak, Erdem ve Söz",2
17.03.2023,2023,RAMAZAN: RAHMET VE MAĞFİRET AYI,"Ramazan, Oruç ve Bayramlar","Vatan, Millet ve Tarih; Afet, Kriz ve Sağlık",0
24.03.2023,2023,RAMAZAN VE DAYANIŞMA,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,3
31.03.2023,2023,ZEKÂT: İSLAM’IN DAYANIŞMA KÖPRÜSÜ,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,3
07.04.2023,2023,İHSAN BİLİNCİ: KULLUĞUN ZİRVESİ,İbadet ve Kulluk,"Sabır, Tevekkül ve Manevi Olgunluk",3
14.04.2023,2023,KADİR GECESİ: BİR ÖMRE BEDEL GECE,"Ramazan, Oruç ve Bayramlar","Kandiller, Muharrem ve Mübarek Geceler",0
21.04.2023,2023,"RAMAZAN BAYRAMI: NEŞE, HUZUR VE KARDEŞLİK GÜNLERİ","Ramazan, Oruç ve Bayramlar",,5
21.04.2023,2023,HAYATI RAMAZAN BİLİNCİYLE YAŞAMAK,"Ramazan, Oruç ve Bayramlar",,5
28.04.2023,2023,İŞ AHLAKI: TOPLUMSAL HUZURUN KAYNAĞI,"Ahlak, Erdem ve Söz","Ekonomik Hayat: Kazanç, Zekat ve İsraf",4
05.05.2023,2023,İSRAF: TÜKETİRKEN TÜKENMEK,"Ahlak, Erdem ve Söz","Ekonomik Hayat: Kazanç, Zekat ve İsraf; Sabır, Tevekkül ve Manevi Olgunluk",4
12.05.2023,2023,"KADIN VE ERKEK: HÜRMETE LAYIK, SAYGIN VARLIK","Aile, Çocuk ve Nesil",,3
19.05.2023,2023,"GENÇLERİMİZ, MİLLİ VE MANEVİ DEĞERLERİMİZİN EMANETÇİSİDİR","Aile, Çocuk ve Nesil",,2
26.05.2023,2023,BİRLİK VE BERABERLİK RUHU,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Vatan, Millet ve Tarih",3
02.06.2023,2023,KALPLER ALLAH’I ZİKRETMEKLE HUZURA KAVUŞUR,İbadet ve Kulluk,"İman, Tevhid ve Ahiret; Sabır, Tevekkül ve Manevi Olgunluk",2
09.06.2023,2023,RABBİMİZ ÇEVRE İLE BİZLERE NE ÖĞRETİR?,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",,1
16.06.2023,2023,İSLAM’IN İKİ ŞİÂRI: EZAN VE KURBAN,"Ramazan, Oruç ve Bayramlar",,1
23.06.2023,2023,BABA: CENNETE AÇILAN KAPI,"Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik",4
28.06.2023,2023,KURBAN BAYRAMI: KARDEŞLİK VE YARDIMLAŞMA GÜNLERİ,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
30.06.2023,2023,ÇOCUKLARIMIZIN ÜZERİMİZDE HAKKI,"Aile, Çocuk ve Nesil",Kur'an-ı Kerim,2
07.07.2023,2023,EVLİLİKLERİMİZ KOLAY OLSUN,"Aile, Çocuk ve Nesil",,3
14.07.2023,2023,"DİN SAMİMİYETTİR, İSTİSMAR İHANETTİR","Ahlak, Erdem ve Söz","Vatan, Millet ve Tarih; Kandiller, Muharrem ve Mübarek Geceler",3
21.07.2023,2023,HİCRET: İDEALLER UĞRUNA ÇIKILAN KUTLU BİR SEFER,Peygamberimiz ve Ashab,"Sabır, Tevekkül ve Manevi Olgunluk; Afet, Kriz ve Sağlık",2
28.07.2023,2023,MUHARREM AYININ ÖNEMİ VE EHL-İ BEYT-İ MUSTAFA,"Kandiller, Muharrem ve Mübarek Geceler",,3
04.08.2023,2023,CUMA: HAFTALIK BAYRAM GÜNÜMÜZ,İbadet ve Kulluk,,2
11.08.2023,2023,SILA-İ RAHİM: RAHMET VE BEREKET VESİLEMİZ,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil",1
18.08.2023,2023,AHİRET: EBEDİ YURDUMUZ,"İman, Tevhid ve Ahiret",,1
25.08.2023,2023,ALLAH’IN YARDIMI AZİZ MİLLETİMİZLE BERABERDİR,"Vatan, Millet ve Tarih",,1
01.09.2023,2023,SAKIN İNCİTME BİR CÂNI!,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,2
08.09.2023,2023,"İLİM YOLU, CENNET YOLUDUR","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",,6
15.09.2023,2023,AHÎLİK: DÜRÜSTLÜK VE MERHAMETİ TİCARETE HÂKİM KILMAK,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,3
22.09.2023,2023,MEVLİD-İ NEBİ,Peygamberimiz ve Ashab,"Kandiller, Muharrem ve Mübarek Geceler",0
29.09.2023,2023,"PEYGAMBERİMİZ, İMAN VE İSTİKAMET","Ahlak, Erdem ve Söz",Peygamberimiz ve Ashab,2
06.10.2023,2023,"CAMİLER  VE DİN GÖREVLİLERİ: HAYRIN ANAHTARI, ŞERRİN KİLİDİ",İbadet ve Kulluk,,1
13.10.2023,2023,ZULÜMLE ÂBÂD OLUNMAZ,İslam Coğrafyası ve Küresel Meseleler,,3
20.10.2023,2023,RAHMET VE SEKİNET MÜJDESİ: İNŞİRÂH SURESİ,İslam Coğrafyası ve Küresel Meseleler,,4
27.10.2023,2023,VATAN MİLLET SEVDASIYLA NİCE YÜZYILLARA,"Vatan, Millet ve Tarih",,3
03.11.2023,2023,ZULME RIZA GÖSTERMEK ZULÜMDÜR,İslam Coğrafyası ve Küresel Meseleler,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
10.11.2023,2023,AZİM VE GAYRET SAHİBİ BİR MÜMİN OLABİLMEK,"Ahlak, Erdem ve Söz",,2
17.11.2023,2023,"İMAN, İBADET VE AHLAK BÜTÜNLÜĞÜ","Ahlak, Erdem ve Söz","İman, Tevhid ve Ahiret; İbadet ve Kulluk",1
