tarih,yil,baslik,ana_tema,ikincil_temalar,ozet,anahtar_kelimeler
26.06.2020,2020,YUVALARIMIZ KUR’AN İLE AYDINLANSIN,"Aile, Çocuk ve Nesil","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Kur'an-ı Kerim","Hutbe, çocukların Allah'ın birer emaneti olduğunu, onları iyi bir Müslüman olarak yetiştirmenin ebeveynlerin temel sorumluluğu olduğunu anlatır. Çocuklara Kur'an ve Peygamber sevgisinin küçük yaşta aşılanması gerektiği vurgulanır. Hutbe, üniversite sınavına girecek gençlere başarı dileyerek tamamlanır.",çocuk terbiyesi; Kur'an eğitimi; aile; emanet; gençlik; üniversite sınavı
03.07.2020,2020,SABRIN SONU SELAMETTİR,"Sabır, Tevekkül ve Manevi Olgunluk",,"Hutbe, dünya hayatının bir yolculuk olduğunu, bu yolculukta sabrın müminlere bahşedilen eşsiz bir nimet olduğunu anlatır. Sabrın zillet veya çaresizlik olmadığı, aksine güçlü bir duruş olduğu vurgulanır. Hutbe, sabredenlerin mükâfatının zayi olmayacağını bildiren ayetle sona erer.",sabır; dünya hayatı; yolculuk; imtihan; mükâfat; tevekkül
10.07.2020,2020,15 TEMMUZ VE BİRLİK RUHU,"Vatan, Millet ve Tarih",,"Hutbe, 15 Temmuz darbe girişiminin milletin imanına ve birlik ruhuna yönelik bir ihanet olduğunu, Allah'ın haini ve nankörü sevmediğini bildiren ayetle anlatır. Müslümanların birbirine kardeş olup ihanet etmemesi gerektiği hadisle desteklenir. Hutbe, şehit ve gazilerin rahmet ve minnetle anılmasıyla tamamlanır.",15 Temmuz; darbe girişimi; ihanet; birlik ve beraberlik; şehitlik; vatan sevgisi
17.07.2020,2020,"KURBANINI PAYLAŞ, KARDEŞİNLE YAKINLAŞ","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Hutbe, her ümmet için kurban kesmenin meşru kılındığını bildiren ayetle Kurban Bayramı'nın anlamını ve kardeşlik boyutunu işler. Kurban kesmenin Allah katında en güzel amellerden biri olduğu hadisle vurgulanır. Kurbanın paylaşılarak kardeşlik bağlarının güçlendirilmesi öğütlenerek hutbe sona erer.",kurban bayramı; kurban kesmek; paylaşma; kardeşlik; ibadet; dayanışma
24.07.2020,2020,"AYASOFYA: FETHİN NİŞANESİ, FATİH’İN EMANETİ",İbadet ve Kulluk,"Vatan, Millet ve Tarih","Hutbe, Ayasofya Camii'nin yeniden ibadete açılmasını Fatih'in emaneti ve fethin nişanesi olarak coşkuyla anlatır. Konstantiniyye'nin fethedileceğini müjdeleyen hadisle tarihi bağ kurulur. Hutbe, camilere sahip çıkmanın inanç, azim ve özveri gerektirdiği vurgusuyla tamamlanır.",Ayasofya; fetih; Fatih Sultan Mehmet; cami; tarih bilinci; müjde hadisi
31.07.2020,2020,KURBAN BAYRAMI: TAKVA YOLCULUĞU,"Ramazan, Oruç ve Bayramlar",,"Hutbe, Kevser suresinde bildirilen namaz ve kurban emriyle Kurban Bayramı'nın takva yolculuğu olduğunu anlatır. Bayram namazından sonra kurban kesmenin sünnete uygunluğu hadisle desteklenir. Hutbe, salgın ve savaşlardan korunma dileğiyle bayram tebrikinde bulunularak sona erer.",kurban bayramı; Kevser suresi; bayram namazı; takva; sünnet; bayram tebriği
31.07.2020,2020,VEDA HUTBESİ: ÇAĞLARI AŞAN NEBEVİ VASİYET,"Ramazan, Oruç ve Bayramlar",,"Hutbe, Kevser suresinde bildirilen namaz ve kurban emriyle Kurban Bayramı'nın takva yolculuğu olduğunu anlatır. Bayram namazından sonra kurban kesmenin sünnete uygunluğu hadisle desteklenir. Hutbe, salgın ve savaşlardan korunma dileğiyle bayram tebrikinde bulunularak sona erer.",kurban bayramı; Kevser suresi; bayram namazı; takva; sünnet; bayram tebriği
07.08.2020,2020,"MÜMİNCE BİR DUYARLILIK: İYİLİĞİ EMRETMEK, KÖTÜLÜKTEN SAKINDIRMAK","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Sabır, Tevekkül ve Manevi Olgunluk; Afet, Kriz ve Sağlık","Hutbe, iyiliğin kâinatın yaratılışındaki asıl gaye olduğunu, İslam'ın da iyiliğin hakim olmasını amaçladığını anlatarak emr-i bi'l-maruf nehy-i ani'l-münker kavramını işler. Müslümanın hem kendi iyiliğini hem toplumsal iyiliği gözetmekle sorumlu olduğu vurgulanır. Hutbe, salgınla mücadele eden görevlilerin işini zorlaştırmama çağrısıyla tamamlanır.",iyiliği emretmek; kötülükten sakındırmak; toplumsal sorumluluk; salgın tedbirleri; ahlak; dayanışma
14.08.2020,2020,ŞÜKREDEN HUZUR BULUR,"Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret","Hutbe, Peygamberimizin günahları affedildiği halde şükür için ağladığını anlatan Hz. Âişe rivayetiyle şükür kavramını işler. Şükrün nimetin kıymetini bilmek ve iyiliğe iyilikle karşılık vermek olduğu vurgulanır. Hutbe, şükredenlere nimetin artırılacağını bildiren ayetle tamamlanır.",şükür; nimet; Hz. Âişe; huzur; kulluk; nankörlük
21.08.2020,2020,"MÜMİN: HAKKIN TEMSİLCİSİ, HAKİKATİN DAVETÇİSİ","Sabır, Tevekkül ve Manevi Olgunluk",Kur'an-ı Kerim,"Hutbe, ilk vahiyle Peygamberimize verilen “kalk ve uyar” emrinin tebliğ görevinin başlangıcı olduğunu anlatır. Müminin hakkın temsilcisi ve hakikatin davetçisi olarak topluma iyiliği emretme sorumluluğu taşıdığı vurgulanır. Hutbe, salgın konusunda ihmalkarlığın hem Allah katında vebal hem kul hakkı olduğu uyarısıyla sona erer.",tebliğ; emr-i bi'l-maruf; ilk vahiy; sorumluluk; salgın tedbirleri; hakikat
28.08.2020,2020,ALLAH’IN DİNİNİ YÜCELTME GAYRETİ,"Vatan, Millet ve Tarih",,"Hutbe, Allah'ın yardımı ve yakın fethi müjdeleyen ayetle Ağustos ayının zaferlerle dolu tarihini anlatır. Milletin hakkı hâkim kılma yolunda gösterdiği mücadele Kurtuluş Savaşı zaferleriyle ilişkilendirilir. Hutbe, 30 Ağustos şehit ve gazilerinin rahmet ve minnetle anılmasıyla tamamlanır.",30 ağustos; zafer bayramı; Kurtuluş Savaşı; şehitlik; vatan; tarih bilinci
04.09.2020,2020,"İSLAM, TEMİZLİĞİ EMREDER","Afet, Kriz ve Sağlık","İman, Tevhid ve Ahiret","Hutbe, Allah'ın tövbe edenleri ve temiz olanları sevdiğini bildiren ayetle temizliğin İslam'daki önemini anlatır. Temizliğin imanın yarısı olduğu hadisle desteklenerek maddi-manevi temizlik bir bütün olarak ele alınır. Hutbe, salgın döneminde maske ve mesafeye uyarak toplum sağlığını gözetme çağrısıyla sona erer.",temizlik; iman; hijyen; salgın tedbirleri; maske; toplum sağlığı
11.09.2020,2020,DİN İSTİSMARINA KARŞI FERASETLİ VE BASİRETLİ OLALIM,Kur'an-ı Kerim,"Peygamberimiz ve Ashab; Toplumsal Dayanışma, Merhamet ve Kardeşlik","Hutbe, dosdoğru yoldan sapmamayı emreden ayetle dinin istismara karşı feraset ve basiretle korunması gerektiğini anlatır. Sözlerin en doğrusunun Kur'an, rehberliğin en güzelinin Peygamberimizin sünneti olduğu hadisle vurgulanır. Hutbe, dini bilginin uzman ve güvenilir kaynaklardan öğrenilmesi öğüdüyle tamamlanır.",din istismarı; feraset; Kur'an ve Sünnet; güvenilir kaynak; basiret; dini bilgi
18.09.2020,2020,BEREKET: MANEVİ BOLLUK,"Sabır, Tevekkül ve Manevi Olgunluk",,"Hutbe, iman edip günahtan sakınan toplumlara gökten ve yerden bereket kapıları açılacağını bildiren ayetle bereket kavramını manevi bolluk olarak tanımlar. Cömert bir gönülle malı kullananın bereketleneceği, hırsla isteyenin ise bereketten mahrum kalacağı hadisle anlatılır. Hutbe, niyetin Allah rızasına bağlanmasının bereket kapılarını açacağı vurgusuyla sona erer.",bereket; manevi bolluk; cömertlik; niyet; rızık; hırs
25.09.2020,2020,CAMİ VE İLİM,İbadet ve Kulluk,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Peygamberimiz ve Ashab","Hutbe, Peygamberimizin Medine'ye hicretinde ilk iş olarak mescit inşa ettirmesi ve ilim ile ibadeti bir arada yürütmesi üzerinden cami-ilim ilişkisini anlatır. İlk vahyin ""oku"" emriyle başlaması, ilmin İslam'daki merkezi konumunu gösterir. Hutbe, Camiler ve Din Görevlileri Haftası vesilesiyle düzenlenecek bir sempozyuma değinilerek tamamlanır.",cami; ilim; Mescid-i Nebevi; hicret; Camiler Haftası; eğitim
02.10.2020,2020,MURAKABE VE MUHASEBE BİLİNCİ,"Sabır, Tevekkül ve Manevi Olgunluk","Afet, Kriz ve Sağlık","Hutbe, Allah'ın her nerede olursak olalım bizimle beraber olduğunu bildiren ayetle murakabe ve muhasebe bilincini işler. İhsanın Allah'ı görüyormuşçasına kulluk etmek olduğu hadisle desteklenir. Hutbe, salgında vefat eden sağlık çalışanlarına rahmet, hastalara şifa dileğiyle tamamlanır.",murakabe; muhasebe; ihsan; Allah'ın gözetimi; salgın; sağlık çalışanları
09.10.2020,2020,MÜMİNİN YUMUŞAK HUYLULUĞU,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz; Vatan, Millet ve Tarih","Hutbe, iman-ibadet-ahlak bütünlüğü içinde müminin yumuşak huylu ve güler yüzlü olması gerektiğini anlatır. Aile, komşuluk ve arkadaşlık ilişkilerinde merhamet ve hakkaniyetin esas alınması öğütlenir. Hutbe, Azerbaycanlı şehitlere rahmet ve yaralılara şifa dileğiyle tamamlanır.",güzel ahlak; yumuşak huyluluk; komşuluk; merhamet; Azerbaycan; şehitlik
16.10.2020,2020,"CAMİ: ALLAH’IN EVİ, MÜMİNLERİN ESERİ",İbadet ve Kulluk,"İman, Tevhid ve Ahiret","Hutbe, Allah'ın mescitlerini ancak iman eden ve namaz kılanların imar edebileceğini bildiren ayetle caminin önemini anlatır. Allah için bir mescit inşa edenin cennette bir köşke sahip olacağı müjdesi hadisle verilir. Hutbe, camilere hizmet eden vefat etmiş kardeşlere rahmet dileğiyle tamamlanır.",cami; mescit imarı; namaz; hayır hizmeti; cennet müjdesi; hizmet
23.10.2020,2020,MEVLİD-İ NEBİ,Peygamberimiz ve Ashab,"Kandiller, Muharrem ve Mübarek Geceler","Hutbe, Allah'ın müminlere kendi içlerinden bir peygamber göndererek büyük bir lütufta bulunduğunu anlatan ayetle Mevlid-i Nebi'yi kutlar. Peygambere itaatin Allah'a itaat anlamına geldiği hadisle vurgulanır. Hutbe, çocuklarla iletişimin Peygamberimiz örnekliğinde yeniden hatırlanması çağrısıyla sona erer.",Mevlid-i Nebi; Peygamber sevgisi; itaat; örnek şahsiyet; çocukla iletişim; doğum haftası
30.10.2020,2020,PEYGAMBERİMİZ VE ÇOCUK,"Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Sabır, Tevekkül ve Manevi Olgunluk","Hutbe, servet ve evlatların dünya hayatının süsü olduğunu, kalıcı olanın ise salih amel olduğunu bildiren ayetle çocuk sevgisini ve Peygamberimizin çocuklara olan şefkatini anlatır. Çocukların maddi ihtiyaçları kadar manevi ihtiyaçlarının da gözetilmesi gerektiği vurgulanır. Hutbe, çocuğa gösterilen sevginin dünya ve ahiret için en hayırlı yatırım olduğu mesajıyla tamamlanır.",çocuk sevgisi; Peygamberimiz ve çocuk; ahlak eğitimi; salih amel; şefkat; aile
06.11.2020,2020,MÜMİN SORUMLULUK SAHİBİDİR,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk; İbadet ve Kulluk","Hutbe, Allah’ın insanı akıllı, saygıdeğer ve sorumluluk sahibi bir varlık olarak yarattığını, doğuştan kazanılan haklar kadar üstlenilmesi gereken sorumlulukların da olduğunu anlatır. İmanla başlayan sorumluluklara riayet edenlerin dünya ve ahiret mutluluğu ile müjdelendiği vurgulanır. Hutbe, orman işletmelerince bedelsiz fidan dağıtımı ve ağaçlandırma kampanyasına katılım çağrısıyla tamamlanır.",sorumluluk bilinci; kulluk; ağaçlandırma; çevre; fidan kampanyası; haklar ve ödevler
13.11.2020,2020,"ABDEST: BEDENİMİZE SAĞLIK, RUHUMUZA HUZUR",İbadet ve Kulluk,"Ramazan, Oruç ve Bayramlar","Hutbe, abdestin namazın anahtarı olduğunu bildiren hadisle temizliğin bedensel ve ruhsal huzur kaynağı olduğunu anlatır. Abdest alırken yapılan yıkama ve mesh hareketlerinin ayette detaylandırıldığı hatırlatılır. Hutbe, Allah’ın tövbe edenleri ve temiz olanları sevdiğini bildiren ayetle sona erer.",abdest; temizlik; namaz; hijyen; ruh sağlığı; ibadet
20.11.2020,2020,CENNET: MÜMİNLERİ BEKLEYEN SONSUZ NİMET,"Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret","Hutbe, iman edip salih amel işleyenler için ebedi Naîm cennetlerinin hazırlandığını bildiren ayetle cenneti müminleri bekleyen sonsuz nimet olarak tanıtır. Dünyanın bir imtihan durağı olduğu, yapılan amellerin ahirette karşılık bulacağı anlatılır. Hutbe, salgın tedbirlerine uyulması çağrısıyla ve mükâfata nail olma temennisiyle tamamlanır.",cennet; salih amel; imtihan; ahiret; ibadet; salgın tedbirleri
27.11.2020,2020,FAYDASIZ İŞLERİ TERK ETMEK KULLUĞUN GÜZELLİĞİNDENDİR,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,"Hutbe, müminlerin boş sözden yüz çevirdiğini bildiren ayet ve faydasız işleri terk etmenin iyi Müslümanlığın alameti olduğunu bildiren hadisle vakit ve söz israfına dikkat çeker. Gereksiz meşguliyetlerden uzaklaşmanın kulluğu güzelleştireceği vurgulanır. Hutbe, başkalarının kusuruyla değil kendi kusuruyla meşgul olanlara övgüyle sona erer.",faydasız işler; zaman yönetimi; kulluğun güzelliği; söz israfı; özeleştiri; ahlak
04.12.2020,2020,ENGELLİLİK: CENNETE KAVUŞTURAN İMTİHAN,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Sabır, Tevekkül ve Manevi Olgunluk","Hutbe, Allah katında değerin takva olduğunu, görünüşe veya mala değil kalbe ve amele bakıldığını bildiren ayet ve hadisle engelliliğin cennete kavuşturan bir imtihan olduğunu anlatır. Engelli bireylere karşı toplumsal duyarlılık ve destek gerekliliği vurgulanır. Hutbe, Karabağ şehitlerinin rahmetle anılmasıyla tamamlanır.",engellilik; takva; imtihan; toplumsal duyarlılık; Karabağ şehitleri; merhamet
11.12.2020,2020,SU: HAYAT VE ŞİFA KAYNAĞIMIZ,"Afet, Kriz ve Sağlık","İbadet ve Kulluk; İman, Tevhid ve Ahiret","Hutbe, her canlının sudan yaratıldığını bildiren ayetle suyun hayat ve şifa kaynağı olduğunu anlatır. İslam’ın suyu ölçülü kullanmayı emrettiği, israfın yasaklandığı vurgulanır. Hutbe, kuraklık nedeniyle cuma namazı sonrası yapılacak yağmur duasına davetle tamamlanır.",su; israf; şükür; yağmur duası; kuraklık; nimet
18.12.2020,2020,MÜMİN HER İŞİNDE MUTEDİLDİR,"Sabır, Tevekkül ve Manevi Olgunluk",,"Hutbe, ahiret yurdunu kazanırken dünyadaki nasibi de unutmamayı öğütleyen ayetle müminin her işte mutedil olması gerektiğini anlatır. Orta yolu tutmanın Peygamberimizin tavsiyesi olduğu hadisle desteklenir. Hutbe, aşırılıklardan uzak durup istikametini koruyanlara övgüyle tamamlanır.",itidal; denge; orta yol; aşırılıktan kaçınma; dünya-ahiret dengesi; istikamet
25.12.2020,2020,İÇKİ: KÖTÜLÜĞÜN ZEHİRLİ ARKADAŞI,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Vatan, Millet ve Tarih; Afet, Kriz ve Sağlık","Hutbe, İslam’ın can, mal, akıl, inanç ve nesil güvenliğini koruduğunu, içkinin bu değerlere zarar verdiği için haram kılındığını anlatır. Sarhoş edici şeylerin yasaklandığını bildiren hadis ve ayetle bu yasak temellendirilir. Hutbe, içkinin toplumu esir almasına izin vermeme çağrısıyla tamamlanır.",içki; haram; zararlı alışkanlıklar; sağlık; toplumsal zarar; koruyucu ilkeler
01.01.2021,2021,"GEÇMİŞİN MUHASEBESİ, GELECEĞİN İMARI","İman, Tevhid ve Ahiret","Kandiller, Muharrem ve Mübarek Geceler; Toplumsal Dayanışma, Merhamet ve Kardeşlik","Hutbe, ömür takviminden her gün bir yaprağın eksildiğini, her yılın hesap gününe yaklaştırdığını anlatarak yeni yıl vesilesiyle geçmişin muhasebesini yapma çağrısı yapar. Nefsi hesaba çekip tövbe etmenin geleceği imar edeceği vurgulanır. Hutbe, salgın döneminde umut ve dayanışmanın canlı tutulması temennisiyle tamamlanır.",yeni yıl; muhasebe; tövbe; hesap günü; umut; dayanışma
08.01.2021,2021,FÂTİHA SÛRESİ: KUR’AN’IN MUKADDİMESİ,İbadet ve Kulluk,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Kur'an-ı Kerim","Hutbe, Peygamberimizin Ebû Saîd b. Muallâ’ya Kur’an’daki en büyük sure olarak Fâtiha’yı bildirdiği kıssayla Fâtiha suresinin Kur’an’ın mukaddimesi olduğunu anlatır. Fâtiha’nın namazlarda tekrar tekrar okunan yedi ayetten oluştuğu vurgulanır. Hutbe, okullarda seçmeli din derslerine çocukların yönlendirilmesi çağrısıyla tamamlanır.",Fâtiha suresi; Kur’an; namaz; din eğitimi; seçmeli dersler; dua
15.01.2021,2021,MİRAS: HER HAK SAHİBİNE HAKKINI VERMEK,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil","Hutbe, anne-baba ve yakınlardan kalan mirastan erkek ve kadına belirli paylar verildiğini bildiren ayetle miras hukukunu ve hak sahibine hakkını verme ilkesini anlatır. Geride mal bırakanın mirasçılarına ait olduğunu bildiren hadisle miras taksiminin önemi vurgulanır. Hutbe, miras paylaşımında merhamet, insaf ve adaletin elden bırakılmaması öğüdüyle tamamlanır.",miras; hak sahibi; adalet; aile hukuku; paylaşım; insaf
22.01.2021,2021,AKLIN İBADETİ: TEFEKKÜR,İbadet ve Kulluk,"İman, Tevhid ve Ahiret","Hutbe, Allah’ı ayakta, otururken ve yatarken zikredip göklerin yaratılışını düşünen müminleri anlatan ayetle tefekkürü aklın ibadeti olarak tanıtır. Aklın hakkı batıldan, doğruyu yanlıştan ayırt etme yeteneği olduğu vurgulanır. Hutbe, dünyayı ahiretin tarlası görüp hazırlık yapanlara övgüyle sona erer.",tefekkür; akıl; ibadet; hakikat arayışı; ahirete hazırlık; zikir
29.01.2021,2021,HAYVANLARA MERHAMET: DİNÎ VE İNSANÎ SORUMLULUĞUMUZ,"Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Sabır, Tevekkül ve Manevi Olgunluk","Hutbe, susuz kalan bir köpeğe su veren adamın Allah’ın rızasını kazandığını anlatan hadisle hayvanlara merhameti dini ve insani bir sorumluluk olarak işler. Her canlıya yapılan iyilikte sevap olduğu vurgulanır. Hutbe, özellikle kış şartlarında hayvanlara duyarlı olma çağrısıyla tamamlanır.",hayvan hakları; merhamet; hayvanlara iyilik; dini sorumluluk; kış şartları; vicdan
05.02.2021,2021,GENÇLERİMİZ: EN BÜYÜK İMKÂN VE ZENGİNLİĞİMİZ,"İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab; Aile, Çocuk ve Nesil","Hutbe, gençliğin insan ömrünün baharı olduğunu, iyi değerlendirildiğinde dünya ve ahiret saadetine vesile olacağını anlatır. Gençliğin kıymetinin ihtiyarlık gelmeden bilinmesi gerektiği hadisle vurgulanır. Hutbe, Ashâb-ı Kehf kıssasındaki genç yiğitlere atıfla gençlerin hidayet ve rehberlik ihtiyacına dikkat çekilerek tamamlanır.",gençlik; kıymet bilme; Ashâb-ı Kehf; rehberlik; potansiyel; ahiret saadeti
12.02.2021,2021,MANEVÎ HUZUR İKLİMİNE GİRERKEN,"Ramazan, Oruç ve Bayramlar","Kandiller, Muharrem ve Mübarek Geceler; Sabır, Tevekkül ve Manevi Olgunluk","Hutbe, Receb ayının ve üç ayların manevi ikliminin başlamasıyla bu rahmet ve mağfiret mevsimine kavuşmanın heyecanını anlatır. Regâib Gecesi’nin de bu mübarek dönemde yaşanacağı hatırlatılır. Hutbe, Recep ve Şaban aylarının mübarek kılınıp Ramazan’a ulaştırılması dileğiyle sona erer.",üç aylar; Receb ayı; Regâib gecesi; mağfiret; manevi iklim; Ramazan’a hazırlık
19.02.2021,2021,İMANIN TADINA ERMEK: ALLAH VE RESÛLÜ’NÜ SEVMEK,"Vatan, Millet ve Tarih","Peygamberimiz ve Ashab; İman, Tevhid ve Ahiret","Hutbe, sevginin Allah’ın varlık âlemine ve insan ruhuna nakşettiği en nadide duygu olduğunu, Allah’ı ve Resûlünü sevmenin imanın tadına ermek anlamına geldiğini anlatır. Allah’ın Vedûd ismiyle sevgiyi yaratan ve öğreten olduğu vurgulanır. Hutbe, bir olayda şehit olanlara rahmet ve ailelerine baş sağlığı dileğiyle tamamlanır.",sevgi; iman; Allah ve Resul sevgisi; Vedûd; şehitlik; gönül bağı
26.02.2021,2021,ZOR ZAMANLARDA MANEVİYATIMIZDAN DESTEK ALMAK,"Sabır, Tevekkül ve Manevi Olgunluk",İbadet ve Kulluk,"Hutbe, sabır ve namazla Allah’tan yardım istemeyi bildiren ayetle zor zamanlarda maneviyattan destek almanın önemini anlatır. Rahat zamanında çokça dua edenin zor zamanda duasının kabul edileceği hadisle vurgulanır. Hutbe, ibadet, dua, tefekkür ve tevekkülle maneviyatı canlı tutma çağrısıyla sona erer.",sabır; dua; tevekkül; zorluklarla mücadele; maneviyat; tefekkür
05.03.2021,2021,İSRÂ VE MİRAÇ,"Vatan, Millet ve Tarih","İslam Coğrafyası ve Küresel Meseleler; Kandiller, Muharrem ve Mübarek Geceler","Hutbe, İsrâ suresinin ilk ayetiyle Peygamberimizin Mescid-i Haram’dan Mescid-i Aksâ’ya gece yürüyüşünü anlatan İsrâ ve Miraç mucizesini işler. Miraç Gecesi’nin ümmete sağlık, huzur ve afiyet getirmesi dileği vurgulanır. Hutbe, bir helikopter kazasında şehit olan askerlere rahmet dileğiyle tamamlanır.",İsrâ ve Miraç; mucize; Mescid-i Aksa; manevi gece; şehitlik; dua
12.03.2021,2021,İSTİKLÂL MARŞI: HAKKIDIR HAKKA TAPAN MİLLETİMİN İSTİKLÂL!,"Vatan, Millet ve Tarih",,"Hutbe, Allah yardım ederse hiç kimsenin galip gelemeyeceğini bildiren ayetle İstiklal Marşı’nın kabulünün yıl dönümü vesilesiyle milli bağımsızlık ruhunu anlatır. Milletin Allah’a güvenerek kazandığı zaferler hatırlatılır. Hutbe, vatan uğruna şehit olanların rahmet ve minnetle anılmasıyla tamamlanır.",İstiklal Marşı; bağımsızlık; milli mücadele; şehitlik; vatan sevgisi; zafer
19.03.2021,2021,"ANNE-BABA RIZASI, RABBİMİZİN RIZASINA VESİLEDİR","Aile, Çocuk ve Nesil","Peygamberimiz ve Ashab; Toplumsal Dayanışma, Merhamet ve Kardeşlik","Hutbe, anne-babanın çocuğunun yetişmesi için yıllarca emek verdiğini, dinin onlarla iyi geçinmeyi emrettiğini anlatır. Anne-baba rızasının Allah’ın rızasına vesile olduğu, özellikle yaşlılıklarında onlara destek olunması gerektiği vurgulanır. Hutbe, Rabbin hoşnutluğunun anne-babanın hoşnutluğunda olduğunu bildiren hadisle tamamlanır.",anne baba hakkı; aile; saygı; vefa; Allah rızası; yaşlılara bakım
26.03.2021,2021,BERAT GECESİ: AF VE MAĞFİRET GECESİ,"Afet, Kriz ve Sağlık","Kandiller, Muharrem ve Mübarek Geceler","Hutbe, Ramazan’ın müjdecisi olan Berat Gecesi’nin af ve mağfiret gecesi olduğunu anlatır. Hz. Âişe’nin Peygamberimizi ararken yaşadığı olayla bu gecenin özel önemine değinilir. Hutbe, salgın tedbirlerine devam edilmesi ve salgından kurtuluş dileğiyle tamamlanır.",berat gecesi; af ve mağfiret; Hz. Âişe; Ramazan’a hazırlık; dua; salgın
02.04.2021,2021,BİRBİRİMİZİN FARKINDA OLALIM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,"Hutbe, herkesin bir imtihanda olduğunu, hastalık, down sendromu ve otizm gibi farklılıklarla da sınandığımızı anlatarak birbirinin farkında olma çağrısı yapar. Yaşanan her zorluğun öğretici ve geliştirici bir yönü olduğu vurgulanır. Hutbe, müminlerin birbirine kenetlenmiş tuğlalar gibi olduğunu bildiren hadisle tamamlanır.",engellilik farkındalığı; otizm; down sendromu; empati; imtihan; dayanışma
09.04.2021,2021,RAMAZAN: KUTLU MİSAFİR,"Ramazan, Oruç ve Bayramlar","İman, Tevhid ve Ahiret; Afet, Kriz ve Sağlık","Hutbe, Ramazan ayının insanlar için hidayet rehberi ve Kur’an’ın indirildiği ay olduğunu bildiren ayetle Ramazan’ı kutlu bir misafir olarak tanıtır. Ramazan geldiğinde cennet kapılarının açıldığı hadisle desteklenir. Hutbe, Ramazan’ın salgından kurtuluşa vesile olması dileğiyle tamamlanır.",Ramazan; oruç; hidayet; Kur’an ayı; cennet kapıları; salgından kurtuluş
16.04.2021,2021,ŞİFA AYI RAMAZAN,"Ramazan, Oruç ve Bayramlar",İbadet ve Kulluk,"Hutbe, sahurla berekete, oruçla sıhhate, Kur’an’la şifaya kavuşulan Ramazan ayını şifa ayı olarak tanıtır. Orucun sabır ve iradeyle takvaya ulaştıran bir emanet olduğu vurgulanır. Hutbe, rükû ve secdeyle kurtuluşa erme çağrısı yapan ayetle tamamlanır.",Ramazan; oruç; şifa; takva; sahur; ibadet
23.04.2021,2021,YETİM: CENÂB-I HAKK’IN İNSANLIĞA EMANETİ,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil; Ahlak, Erdem ve Söz","Hutbe, Uhud savaşında babası şehit olan bir çocuğu Peygamberimizin teselli edip kendisinin baba olacağını söylemesi kıssasıyla yetimlere sahip çıkmanın önemini anlatır. Yetimin Allah’ın insanlığa emaneti olduğu vurgulanır. Hutbe, yetimlere maddi ve manevi destek olma çağrısıyla tamamlanır.",yetim; Uhud savaşı; merhamet; emanet; sosyal sorumluluk; şefkat
30.04.2021,2021,İNFAK TOPLUMUN ŞİFASIDIR,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Hutbe, ölüm gelmeden önce infak etmeyi öğütleyen ayetle infakın toplumun şifası olduğunu anlatır. İnfak edenin Allah tarafından da rızıklandırılacağı hadis-i kutsî ile vurgulanır. Hutbe, cuma namazı sonrası yardım kampanyasına katılım çağrısıyla tamamlanır.",infak; sadaka; yardımlaşma; toplumsal şifa; zekât; dayanışma
07.05.2021,2021,KADİR GECESİ: BİN AYDAN HAYIRLI GECE,İbadet ve Kulluk,"Ramazan, Oruç ve Bayramlar; Kandiller, Muharrem ve Mübarek Geceler","Hutbe, Ramazan’ın son günlerine yaklaşırken Kadir Gecesi’ne kavuşmanın heyecanını anlatarak bu gecenin bin aydan hayırlı olduğunu bildiren ayete değinir. Salgının buruk geçirdiği günlerde bu gecenin inşirah ve huzur vesilesi olacağı vurgulanır. Hutbe, Peygamberimizin affetmeyi seven Allah’a sığınma duasıyla tamamlanır.",Kadir gecesi; Ramazan; mağfiret; dua; salgın; ibadet
